LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_street_number,address_street_number_no_unit,address_city,address_state,address_zip,address_zip4,address_zip9,address_full,address_full_no_unit,address_country,county,latitude,longitude,pluscode,current_delivery_sys,weekly_delivery_frequency,service_time_mins,avg_pickup,avg_dropoff,address_verified_01,address_verified_02,geoloc_verified,redundant_address,dpi_LS_ID,dpi_LIBID,dpi_FSCSKEY,dpi_LibraryName,dpi_County,dpi_System,dpi_StreetAddress,dpi_StreetCity,dpi_StreetState,dpi_StreetZIP,dpi_StreetZIP+4
NWMB004,Cornucopia mailabook,Cornucopia mailabook,nwls_mailabook,"88545		",,Superior,St,,,88545 Superior St,88545 Superior St,Cornucopia,WI,54827,,54827,"88545 Superior St, Cornucopia, WI 54827","88545 Superior St, Cornucopia, WI 54827",US,Bayfield ,,,,Northern Waters Library Service,,,,,TRUE,TRUE,,FALSE,,,,,,,,,,,
WIGOV160,DPI/RLL,Wisconsin Department of Public Instruction,wi_state_gov,125,S,Webster,St,,,125 S Webster St,125 S Webster St,Madison,WI,53703,,53703,"125 S Webster St, Madison, WI 53703","125 S Webster St, Madison, WI 53703",US,Dane,,,,South Central Library System,,,,,TRUE,TRUE,,FALSE,,,,,,,,,,,
WI0418,Gillett PL,Gillett Public Library,public_library,200,E,Main,St,,,200 E Main St,200 E Main St,Gillett,WI,54124,109,54124-109,"200 E Main St, Gillett, WI 54124","200 E Main St, Gillett, WI 54124",US,Oconto,,,,Nicolet Federated Library System,,,,,TRUE,TRUE,,FALSE,14396,WI0418,WI0418,Gillett Public Library,Oconto,Nicolet Federated Library System,200 E. Main St.,Gillett,WI,54124,109
WI0127,Hammond PL,Hammond Community Library,public_library,850,,Davis,St,,,850 Davis St,850 Davis St,Hammond,WI,54015,120,54015-120,"850 Davis St, Hammond, WI 54015","850 Davis St, Hammond, WI 54015",US,St. Croix,,,,IFLS Library System,,,,,TRUE,TRUE,,FALSE,14140,WI0127,WI0127,Hammond Community Library,St. Croix,IFLS Library System,850 Davis St.,Hammond,WI,54015,120
WI0133,Hazel Green PL,Hazel Green Public Library,public_library,1610,,Fairplay,,,,1610 Fairplay,1610 Fairplay,Hazel Green,WI,53811,367,53811-367,"1610 Fairplay, Hazel Green, WI 53811","1610 Fairplay, Hazel Green, WI 53811",US,Grant,,,,Southwest Wisconsin Library System,,,,,TRUE,TRUE,,FALSE,14145,WI0133,WI0133,Hazel Green Public Library,Grant,Southwest Wisconsin Library System,1610 Fairplay,Hazel Green,WI,53811,367
WI0136,Hortonville PL,Hortonville Public Library,public_library,531,N,Nash,St,,,531 N Nash St,531 N Nash St,Hortonville,WI,54944,25,54944-25,"531 N Nash St, Hortonville, WI 54944","531 N Nash St, Hortonville, WI 54944",US,Outagamie,,,,Outagamie Waupaca Library System,,,,,TRUE,TRUE,,FALSE,14148,WI0136,WI0136,Hortonville Public Library,Outagamie,Outagamie Waupaca Library System,531 N. Nash St.,Hortonville,WI,54944,25
WI0389,Iron Ridge PL,Iron Ridge Public Library,public_library,205,,Park,St,,,205 Park St,205 Park St,Iron Ridge,WI,53035,247,53035-247,"205 Park St, Iron Ridge, WI 53035","205 Park St, Iron Ridge, WI 53035",US,Dodge,,,,Monarch Library System,,,,,TRUE,TRUE,,FALSE,14373,WI0389,WI0389,Iron Ridge Public Library,Dodge,Monarch Library System,205 Park St.,Iron Ridge,WI,53035,247
WI0144,Johnson Creek PL,Johnson Creek Public Library,public_library,125,,Lincoln,St,,,125 Lincoln St,125 Lincoln St,Johnson Creek,WI,53038,130,53038-130,"125 Lincoln St, Johnson Creek, WI 53038","125 Lincoln St, Johnson Creek, WI 53038",US,Jefferson,,,,Bridges Library System,,,,,TRUE,TRUE,,FALSE,14155,WI0144,WI0144,Johnson Creek Public Library,Jefferson,Bridges Library System,125 Lincoln St.,Johnson Creek,WI,53038,130
WI0146,Kaukauna PL,Kaukauna Public Library,public_library,207,,Thilmany,Rd,,Ste 200,"207 Thilmany Rd, Ste 200",207 Thilmany Rd,Kaukauna,WI,54130,2244,54130-2244,"207 Thilmany Rd, Ste 200, Kaukauna, WI 54130","207 Thilmany Rd, Kaukauna, WI 54130",US,Outagamie,,,,Outagamie Waupaca Library System,,,,,TRUE,TRUE,,FALSE,14157,WI0146,WI0146,Kaukauna Public Library,Outagamie,Outagamie Waupaca Library System,"207 Thilmany Rd., Suite 200",Kaukauna,WI,54130,2244
WI0148-007,Kenosha PL - BKM,Kenosha Public Library Bookmobile,outreach_service,1500,,27th,Ave,,,1500 27th Ave,1500 27th Ave,Kenosha,WI,53140,3701,53140-3701,"1500 27th Ave, Kenosha, WI 53140","1500 27th Ave, Kenosha, WI 53140",US,Kenosha,,,,Kenosha County Library System,,,,,TRUE,TRUE,,TRUE,14159,WI0148-007,WI0148,Kenosha Public Library Bookmobile,Kenosha,Kenosha County Library System,1500 27th Ave.,Kenosha,WI,53140,3701
WI0150,Kewaskum PL,Kewaskum Public Library,public_library,206,,First,St,,,206 First St,206 First St,Kewaskum,WI,53040,38,53040-38,"206 First St, Kewaskum, WI 53040","206 First St, Kewaskum, WI 53040",US,Washington,,,,Monarch Library System,,,,,TRUE,TRUE,,FALSE,14161,WI0150,WI0150,Kewaskum Public Library,Washington,Monarch Library System,206 First St.,Kewaskum,WI,53040,38
WI0159-003,South Community Branch - LaxPL,South Community Branch,public_library,1307,,16th,St,S,,1307 16th St S,1307 16th St S,La Crosse,WI,54601,5725,54601-5725,"1307 16th St S, La Crosse, WI 54601","1307 16th St S, La Crosse, WI 54601",US,La Crosse,,,,Winding Rivers Library System,,,,,TRUE,TRUE,,FALSE,14169,WI0159-003,WI0159,South Community Branch,La Crosse,Winding Rivers Library System,1307 16th St. S.,La Crosse,WI,54601,5725
WI0172,Lomira PL,Lomira QuadGraphics Community Library,public_library,427,S,Water,St,,,427 S Water St,427 S Water St,Lomira,WI,53048,1108,53048-1108,"427 S Water St, Lomira, WI 53048","427 S Water St, Lomira, WI 53048",US,Dodge,,,,Monarch Library System,,,,,TRUE,TRUE,,FALSE,14180,WI0172,WI0172,Lomira QuadGraphics Community Library,Dodge,Monarch Library System,427 S. Water St.,Lomira,WI,53048,1108
WI0173,Lone Rock PL,Lone Rock Community Library,public_library,234,N,Broadway,,,,234 N Broadway,234 N Broadway,Lone Rock,WI,53556,5,53556-5,"234 N Broadway, Lone Rock, WI 53556","234 N Broadway, Lone Rock, WI 53556",US,Richland,,,,Southwest Wisconsin Library System,,,,,TRUE,TRUE,,FALSE,14181,WI0173,WI0173,Lone Rock Community Library,Richland,Southwest Wisconsin Library System,234 N. Broadway,Lone Rock,WI,53556,5
WI0501,Dane County LS,Dane County Library Service,public_library,1874,S,Stoughton,Rd,,,1874 S Stoughton Rd,1874 S Stoughton Rd,Madison,WI,53716,2258,53716-2258,"1874 S Stoughton Rd, Madison, WI 53716","1874 S Stoughton Rd, Madison, WI 53716",US,Dane,,,,South Central Library System,,,,,TRUE,TRUE,,FALSE,14766,WI0501,WI0501,Dane County Library Service,Dane,South Central Library System,1874 S. Stoughton Rd.,Madison,WI,53716,2258
NWMB008,Minong mailabook,Minong mailabook,nwls_mailabook,403,,US Business Highway 53,,,,403 US Business Highway 53,403 US Business Highway 53,Minong,WI,54859,,54859,"403 US Business Highway 53, Minong, WI 54859","403 US Business Highway 53, Minong, WI 54859",US,Washburn,,,,Northern Waters Library Service,,,,,TRUE,TRUE,,FALSE,,,,,,,,,,,
WIGOV210,MMHI,Mendota Mental Health Institute,wi_state_gov,301,,Troy,Dr,,,301 Troy Dr,301 Troy Dr,Madison,WI,53704,,53704,"301 Troy Dr, Madison, WI 53704","301 Troy Dr, Madison, WI 53704",US,Dane,,,,South Central Library System,,,,,TRUE,TRUE,,FALSE,,,,,,,,,,,
WI0369,Manitowish Waters PL,Frank B. Koller Memorial Library,public_library,2,,US 51,,,,2 US 51,2 US 51,Manitowish Waters,WI,54545,100,54545-100,"2 US 51, Manitowish Waters, WI 54545","2 US 51, Manitowish Waters, WI 54545",US,Vilas,,,,Northern Waters Library Service,,,,,TRUE,TRUE,,FALSE,14358,WI0369,WI0369,Frank B. Koller Memorial Library,Vilas,Northern Waters Library Service,5761 US Hwy. 51,Manitowish Waters,WI,54545,100
WI0420,McFarland PL,E.D. Locke Public Library,public_library,5920,,Milwaukee,St,,,5920 Milwaukee St,5920 Milwaukee St,McFarland,WI,53558,8962,53558-8962,"5920 Milwaukee St, McFarland, WI 53558","5920 Milwaukee St, McFarland, WI 53558",US,Dane,,,,South Central Library System,,,,,TRUE,TRUE,,FALSE,14398,WI0420,WI0420,E.D. Locke Public Library,Dane,South Central Library System,5920 Milwaukee St.,McFarland,WI,53558,8962
UWMAD260,Steenbock Library,UW-Madison / Steenbock Library,uw_madison,550,,Babcock,Dr,,,550 Babcock Dr,550 Babcock Dr,Madison,WI,53706,,53706,"550 Babcock Dr, Madison, WI 53706","550 Babcock Dr, Madison, WI 53706",US,Dane,,,,South Central Library System,,,,,TRUE,TRUE,,FALSE,,,,,,,,,,,
UWSYS170,UW-La Crosse,UW-La Crosse,uw_system,1631,,Pine,St,,,1631 Pine St,1631 Pine St,La Crosse,WI,54601,,54601,"1631 Pine St, La Crosse, WI 54601","1631 Pine St, La Crosse, WI 54601",US,La Crosse,,,,South Central Library System,,,,,TRUE,TRUE,,FALSE,,,,,,,,,,,
WI0205,Montello PL,Montello Public Library,public_library,128,,Lake,Ct,,,128 Lake Ct,128 Lake Ct,Montello,WI,53949,457,53949-457,"128 Lake Ct, Montello, WI 53949","128 Lake Ct, Montello, WI 53949",US,Marquette,,,,Winnefox Library System,,,,,TRUE,TRUE,,FALSE,14210,WI0205,WI0205,Montello Public Library,Marquette,Winnefox Library System,128 Lake Ct.,Montello,WI,53949,457
WI0207,Monticello PL,Monticello Public Library,public_library,512,E,Lake,Ave,,,512 E Lake Ave,512 E Lake Ave,Monticello,WI,53570,149,53570-149,"512 E Lake Ave, Monticello, WI 53570","512 E Lake Ave, Monticello, WI 53570",US,Green,,,,South Central Library System,,,,,TRUE,TRUE,,FALSE,14212,WI0207,WI0207,Monticello Public Library,Green,South Central Library System,512 E. Lake Ave.,Monticello,WI,53570,149
WI0214,Neenah PL,Neenah Public Library,public_library,240,E,Wisconsin,Ave,,,240 E Wisconsin Ave,240 E Wisconsin Ave,Neenah,WI,54956,3010,54956-3010,"240 E Wisconsin Ave, Neenah, WI 54956","240 E Wisconsin Ave, Neenah, WI 54956",US,Winnebago,,,,Winnefox Library System,,,,,TRUE,TRUE,,FALSE,14217,WI0214,WI0214,Neenah Public Library,Winnebago,Winnefox Library System,240 E. Wisconsin Ave.,Neenah,WI,54956,3010
ARC220,UW-La Crosse ARC,UW-La Crosse ARC,ARC,1631,,Pine,St,,,1631 Pine St,1631 Pine St,La Crosse,WI,54601,,54601,"1631 Pine St, La Crosse, WI 54601","1631 Pine St, La Crosse, WI 54601",US,La Crosse,,,,South Central Library System,,,,,TRUE,TRUE,,TRUE,,,,,,,,,,,
