LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_city,address_state,address_zip,address_country,county,latitude,longitude,pluscode,current_delivery_sys,current_delivery_sys_code,service_time_mins,m_do,m_pu,t_do,t_pu,w_do,w_pu,r_do,r_pu,f_do,f_pu,s_do,s_pu,avg_pickup,avg_dropoff,volume_data_missing,redundant_address,address_verified_01,address_verified_02,geoloc_verified_01,ideal_regional_hub,starter_regional_hub
WI0059,Chippewa Falls PL,Chippewa Falls Public Library,public_library,105,W,Central,St,,,Chippewa Falls,WI,54729,US,Chippewa,,,,IFLS Library System,IFLS,7,11,14,12,16,15,10,15,12,12,10,,,13,13,FALSE,FALSE,TRUE,TRUE,TRUE,,
WIGOV130,Chippewa Valley CI,Chippewa Valley Correctional Treatment Facility Library,wi_state_gov,2909,E,Park,Ave,,,Chippewa Falls,WI,54729,US,Chippewa,,,,IFLS Library System,IFLS,7,2,2,,,,,,,,,,,2,2,TRUE,FALSE,TRUE,TRUE,TRUE,,
WI0060,Clear Lake PL,Clear Lake Public Library,public_library,350,,Fourth,Ave,,,Clear Lake,WI,54005,US,Polk,,,,IFLS Library System,IFLS,7,2,3,,,5,5,,,4,4,,,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0065,Colfax PL,Colfax Public Library,public_library,613,,Main,St,,,Colfax,WI,54730,US,Dunn,,,,IFLS Library System,IFLS,7,2,3,,,6,6,,,7,6,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0067,Cornell PL,Cornell Public Library,public_library,117,N,Third,St,,,Cornell,WI,54732,US,Chippewa,,,,IFLS Library System,IFLS,7,,,,,1,1,,,1,1,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0072,Cumberland PL,Thomas St. Angelo Public Library,public_library,1305,,2nd,Ave,,,Cumberland,WI,54829,US,Barron,,,,IFLS Library System,IFLS,7,3,3,1,3,4,3,3,2,3,3,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0076,Deer Park PL,Deer Park Public Library,public_library,112,,Front,St,W,,Deer Park,WI,54007,US,St. Croix,,,,IFLS Library System,IFLS,7,2,1,,,1,2,,,2,1,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0382,Dresser PL,Geraldine E. Anderson Village Library,public_library,117,S,Central,Ave,,,Dresser,WI,54009,US,Polk,,,,IFLS Library System,IFLS,7,2,2,1,2,,,3,2,,,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0086,Durand PL,Durand Community Library,public_library,604,,7th,Ave,E,,Durand,WI,54736,US,Pepin,,,,IFLS Library System,IFLS,7,,,1,1,,,1,1,,,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,
WI0090,Eau Claire PL,L.E. Phillips Memorial Public Library,public_library,400,,Eau Claire,St,,,Eau Claire,WI,54701,US,Eau Claire,,,,IFLS Library System,IFLS,7,27,50,22,32,33,31,24,40,23,18,,,35,26,FALSE,FALSE,TRUE,TRUE,TRUE,,
